Time_ms,CarCurPos_1,CarStoppedPos_1,CarVel_1,CarCurPos_2,CarStoppedPos_2,CarVel_2,CoilCurrent01,CoilCurrent02,CoilCurrent03,CoilCurrent04,CoilCurrent05,CoilCurrent06,CoilCurrent07,CoilCurrent08,CoilCurrent09,CoilCurrent10,CoilCurrent11,CoilCurrent12,PosError01,PosError02,PosError03,PosError04,PosError05,PosError06,PosError07,PosError08,PosError09,PosError10,PosError11,PosError12
0,3346,3346,0.03,3730,3730,0,-0.01,0,0.01,0,0,0.01,-0.01,0,-0.01,-0.01,0.26,0.18,0,0,0,0,0,0,0,0,0,0,0,0
10,3346,3346,0.08,3730,3730,0.08,0,0,0,0,0.01,0.01,-0.01,0,-0.01,-0.01,0.26,0.18,0,0,0,0,0,0,0,0,0,0,0,0
20,3346,3346,0,3730,3730,-0.06,-0.01,0,-0.01,0.01,0.01,0.01,0,0,0,0.01,0.26,0.17,0,0,0,0,0,0,0,0,0,0,0,0
30,3346,3346,0,3730,3730,-0.06,-0.01,0,-0.01,0.01,0.01,0.01,0,0,0,0.01,0.26,0.17,0,0,0,0,0,0,0,0,0,0,0,0
40,3346,3346,0,3730,3730,-0.06,-0.01,0,-0.01,0.01,0.01,0.01,0,0,0,0.01,0.26,0.17,0,0,0,0,0,0,0,0,0,0,0,0
50,3346,3346,0,3730,3730,-0.06,-0.01,0,-0.01,0.01,0.01,0.01,0,0,0,0.01,0.26,0.17,0,0,0,0,0,0,0,0,0,0,0,0
60,3346,3346,0,3730,3730,-0.06,-0.01,0,-0.01,0.01,0.01,0.01,0,0,0,0.01,0.26,0.17,0,0,0,0,0,0,0,0,0,0,0,0
70,3346,3346,0,3730,3730,-0.06,-0.01,0,-0.01,0.01,0.01,0.01,0,0,0,0.01,0.26,0.17,0,0,0,0,0,0,0,0,0,0,0,0
80,3346,3346,0,3730,3730,-0.06,-0.01,0,-0.01,0.01,0.01,0.01,0,0,0,0.01,0.26,0.17,0,0,0,0,0,0,0,0,0,0,0,0
90,3346,3346,0,3730,3730,-0.06,-0.01,0,-0.01,0.01,0.01,0.01,0,0,0,0.01,0.26,0.17,0,0,0,0,0,0,0,0,0,0,0,0
100,3346,3346,0,3730,3730,-0.06,-0.01,0,-0.01,0.01,0.01,0.01,0,0,0,0.01,0.26,0.17,0,0,0,0,0,0,0,0,0,0,0,0
110,3346,3346,0,3730,3730,-0.06,-0.01,0,-0.01,0.01,0.01,0.01,0,0,0,0.01,0.26,0.17,0,0,0,0,0,0,0,0,0,0,0,0
120,3346,3346,0,3730,3730,-0.06,-0.01,0,-0.01,0.01,0.01,0.01,0,0,0,0.01,0.26,0.17,0,0,0,0,0,0,0,0,0,0,0,0
130,3346,3346,0,3730,3730,-0.06,-0.01,0,-0.01,0.01,0.01,0.01,0,0,0,0.01,0.26,0.17,0,0,0,0,0,0,0,0,0,0,0,0
140,3346,3346,-0.01,3730,3730,0.07,-0.01,0,0,0.01,0.01,0.01,0,0,0,0.01,0.26,0.17,0,0,0,0,0,0,0,0,0,0,0,0
150,3346,3346,-0.01,3730,3730,0.07,-0.01,0,0,0.01,0.01,0.01,0,0,0,0.01,0.26,0.17,0,0,0,0,0,0,0,0,0,0,0,0
